PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
GJB61,1r4k1/3p1p1p/6p1/2R2PP1/8/p3P3/1r5P/2R1K3 b - - 3 35,a3a2 c5c8 b8c8 c1c8 g8g7 f5f6,917,105,95,1625,endgame long mate mateIn3 rookEndgame,https://lichess.org/do79UQ0A/black#70,
uJEeR,6k1/1pp3p1/p1p2p1p/4N3/1P1P3P/2P3Q1/q4PK1/8 w - - 0 31,e5d7 a2d5 f2f3 d5d7,918,95,86,429,advantage endgame fork short,https://lichess.org/sYYrX2AF#61,
FSNxT,5rk1/1p1q1pp1/r2b3B/p1pNn3/3pP3/3P2P1/PPP3QP/1K1R3R b - - 0 22,g7h6 d5f6 g8g7 f6d7,919,85,86,182,crushing fork middlegame short,https://lichess.org/71PFktoD/black#44,
8eHQu,1r4k1/1b3pp1/p1q4p/3PP3/8/1Q2P3/1R4PP/6K1 b - - 0 27,c6d5 b3d5 b7d5 b2b8,919,98,80,247,advantage discoveredAttack endgame short,https://lichess.org/F3tgTis9/black#54,
cAXVP,r1br2k1/pp3ppp/4p3/4B3/4Q3/2P2P2/PP3qPP/2K2BNR w - - 3 18,g1h3 f2d2 c1b1 d2d1,922,87,96,1159,mate mateIn2 middlegame queensideAttack short,https://lichess.org/2CLfjqol#35,Caro-Kann_Defense Caro-Kann_Defense_Karpov_Variation
tJlLy,3r1R1k/p3q2p/1p5Q/8/8/3bp1Pp/PP3R1K/3r4 b - - 1 42,d8f8 f2f8 e7f8 h6f8,922,94,94,106,endgame mate mateIn2 short,https://lichess.org/5v1USqpI/black#84,
VarLU,8/3Pb1k1/8/1p6/2n1R3/8/p4KP1/8 b - - 0 47,a2a1q e4e7 g7g6 d7d8q,922,78,91,350,advancedPawn advantage endgame hangingPiece promotion short,https://lichess.org/u8q1HQRF/black#94,
qQE8v,2r3k1/8/p6B/1p1b4/1P6/P3p2P/1Q4PK/3q4 b - - 0 48,d1d2 b2g7,923,95,90,40,endgame mate mateIn1 oneMove,https://lichess.org/RLEVa4TQ/black#96,
byCB0,5rk1/5ppp/p2Qp3/1p3q2/8/1P5P/P2R2P1/6K1 b - - 1 30,f8c8 d6d8 c8d8 d2d8,923,92,88,66,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/FMmINEyb/black#60,
AJXSo,4r1k1/p3pp1p/1ppN2p1/2rn2q1/3Q4/5P2/P4P1P/4RR1K b - - 5 36,e7d6 e1e8,925,87,88,47,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/woLvmBr0/black#72,
hs1zc,8/8/2K5/1p3b2/pP1P1p2/k1P3R1/8/8 w - - 0 53,g3f3 f5e4 c6d6 e4f3,926,83,100,118,crushing endgame fork master short,https://lichess.org/x6H1A4Un#105,
XCc46,5k2/R4p2/5Pp1/P1n3Pp/7P/r3PK2/8/8 b - - 0 41,c5e6 a7a8 e6d8 a8d8,926,96,91,26,endgame mate mateIn2 short,https://lichess.org/Psntdqs1/black#82,
yQLAK,8/pp2r3/2pR4/6rk/4P3/5K2/PPP1N3/8 b - - 7 37,e7f7 e2f4 f7f4 f3f4,928,81,96,490,crushing endgame master short,https://lichess.org/7ZMoyUps/black#74,
